Acceleration_MPerS2_1X;Acceleration_MPerS2_1Y;Acceleration_MPerS2_1Z;Acceleration_MPerS2_2X;Acceleration_MPerS2_2Y;Acceleration_MPerS2_2Z
-0,95;3,89;-8,72;0,94;16,25;4,38
1,52;4,31;-6,25;4,45;10,84;-2,96
0,68;3,3;-2,49;0,55;3,53;0,77
-2,05;3,31;-4,94;-1,73;6,47;2,88
0,67;5;-9,47;-2,94;15,87;-0,6
0,08;6,3;-11,81;0,45;10,33;4,15
-2,87;6,29;-9,96;3,35;10,8;-2,28
-0,84;5,23;-8,94;2,22;13,6;-2,56
1,03;6,79;-11,08;-0,08;3,52;1,37
1,39;7,45;-7,83;-6,68;7,03;-5,06
-0,44;4,31;-6,24;-5,01;16,09;0,83
-1,24;4,79;-9,92;4,1;13,63;1,1
1,99;4,75;-5,51;3,5;7,08;-3,84
0;2,95;-1,93;0,08;1,29;2,98
-2,02;4,05;-6,96;-2,74;9,3;0,39
1,48;4,96;-10,44;-2,37;15,01;0,22
-0,33;6,54;-10,66;2,69;7,91;2,25
-2,7;5,78;-9,74;2,81;11,49;-4,26
0,14;5,47;-10,66;3,16;9,98;-0,78
1,68;8,53;-10,44;-1,29;2,09;-1,84
0,8;6,52;-6,78;-7,49;10,54;-4,27
-1,47;4,45;-8,27;-0,18;16,12;2,69
-0,7;5,54;-10,08;4,69;11,12;-2,5
1,67;4,29;-4,97;2,87;2,8;-1,98
-0,99;3,12;-3,37;-0,07;2,05;3,92
-1,21;3,74;-8,07;-3,97;13,47;-1,91
0,77;5,59;-11,17;0,59;10,34;1,07
-1,92;6,83;-10,99;3,55;6,78;0,05
-1,81;6,26;-9,47;3;13,1;-4,29
0,08;6,54;-10,16;3,34;3,96;0,87
0,48;8,15;-9,91;-4,71;3,7;-4,18
0,97;6,33;-6,44;-6,11;14,18;-1,48
-1,81;4,37;-8,3;2,91;13,64;3,52
-0,79;5,8;-8,54;4,36;9,67;-4,16
1,55;3,79;-2,52;0,95;1,36;1,61
-2,09;2,86;-3,6;-2,44;7,36;2,36
-1,14;4,96;-8,14;-2,63;16,65;-1,25
0,43;5,6;-9,73;1,23;8,04;3,77
-2,75;7,33;-9,46;2,16;11,95;-2,96
-2,22;6,9;-7,94;3,35;12,28;-2,03
-0,23;7,14;-9,82;0,4;2,44;0,34
1,34;8,49;-9,06;-7,8;11,02;-4,29
0,46;5,15;-6,24;-3,13;16,01;2,89
-2,25;3,92;-8,43;5,29;12,48;-0,92
0,87;4,64;-6,98;2,89;7,16;-2,39
1,54;3,22;-2,77;-0,51;4,15;5,33
-2,49;3,21;-3,79;-3,04;14,84;-0,82
0,14;4,32;-7,92;-1,6;13,96;2,13
1,42;5,39;-10,66;1,91;9,36;2,07
-2,55;6,29;-8,14;1,38;16,27;-4,08
-1,56;6,65;-7,13;2,29;9,33;2,95
1,09;7,74;-10,6;-3,31;5,62;-2,45
1,7;7,78;-8,87;-8,1;14,51;-3,19
0,35;4,06;-6,13;0,34;14,76;4,44
-1,06;2,92;-8,04;3,97;10,66;-2,86
1,77;5,27;-6,24;1,82;4,62;0,98
0,62;3,83;-2,57;-0,61;6,49;3,7
-2,12;2,07;-5,38;-3,24;14,77;-1,82
1,11;3,42;-10,54;0,36;10,44;3,4
0,12;5,56;-10,93;1,29;10,61;-1,26
-2,47;6,09;-8,19;2,38;13,92;-3,1
-0,95;5,51;-8,93;2,68;5,05;1,53
0,58;7,91;-11,19;-6,85;7,34;-4,82
1,87;7,97;-8,8;-5,88;16,13;-0,06
-0,41;3,87;-7,19;2,75;13,32;1,8
-1,02;4,47;-8,67;3,29;7,09;-4,01
2,31;6,01;-5,48;2,1;2,79;3,24
0,04;3,79;-2,16;-2,64;9,63;1,18
-1,75;3,68;-6,68;-2,6;14,43;-1,3
1,14;5,21;-11,55;2,38;7,24;2,17
0,01;5,63;-10,7;1,78;10,7;-4,63
-2,38;5,37;-8,53;3,89;9,97;-1,51
-0,92;5,86;-9,69;-0,05;2,24;-0,77
0,99;8,26;-11,47;-7,39;11,45;-5,12
0,99;5,92;-8,69;-1,47;14,92;2,43
-1,06;2,41;-7,7;3,49;8,99;-1,59
-0,83;5,03;-9,44;3,24;5,44;-1,9
1,36;4,24;-4,77;0,47;3,15;4,82
-1,39;3,06;-2,75;-3,28;12,39;-2,05
-1,92;4,84;-8,63;1,25;11,81;0,67
1,39;4,49;-11,54;2,6;6,07;0,59
-1,19;6,44;-10,23;2,43;12,93;-4,34
-2,18;6,06;-8,56;4,77;5,61;0,77
0,29;6,6;-10,27;-4,25;3,52;-4,57
0,5;10,45;-10,78;-7;14,99;-2,09
0,69;6,06;-6,88;1,76;13,02;3,9
-1,61;3,63;-8,64;3,33;8,12;-3,38
-1,24;5,83;-8,66;2,06;2,44;1,12
1,43;3,96;-1,95;-1,79;7,37;1,62
-1,96;4,22;-2,59;-2,94;16,69;-1,32
-1,97;4,79;-8,08;2,01;7,8;3,7
0,49;5,49;-10,92;1,3;9,9;-1,87
-2,13;6,82;-9,55;3,16;13,06;-1,85
-2,14;5,43;-6,53;1,82;2,96;-0,88
-0,21;7,8;-9,08;-7,86;9,94;-4,33
0,88;9,28;-9,9;-3,77;17,2;2,97
0,96;5,07;-6,7;3,78;12,77;0,06
-1,44;3,75;-8,16;2,03;6,77;-2,77
0,29;4,71;-7,35;0;3,65;3,46
1,45;4,12;-2,06;-2,77;14,16;-0,21
-2,25;3,98;-3,26;-1,53;15,31;1,57
-0,4;5,43;-9,45;1,02;8,36;2,7
1,35;6,04;-11,79;1,3;14,77;-2,49
-2,02;5,05;-9,04;3,25;9,7;0,86
-1,76;6,08;-6,74;-2,39;4,03;-1,74
0,41;8,36;-8,48;-7,17;14,72;-2,23
1,6;8,46;-8,65;0,22;16,13;3,35
0,74;4,48;-6,57;4,23;10,66;-1,88
-0,88;2,58;-8,19;1,37;4,03;0
1,42;5,37;-6,6;-1,26;5,38;3,29
0,7;3,7;-1,09;-1,72;16,46;-1,31
-2,12;2,63;-4,41;0,79;10,81;2,79
0,68;5,3;-11,32;0,37;9,03;0,76
0,62;5,08;-11,79;0,62;14,8;-2,72
-2,17;4,97;-9,04;1,98;4,29;0,39
-0,7;4,97;-8,23;-4,66;6,26;-4,28
0,61;7,7;-10,66;-5,89;16,18;-0,6
1,5;9,2;-9,48;1,94;13,6;1,72
0,57;3,63;-7,27;4,01;7,83;-3,49
-1,17;3,76;-10,14;1,93;0,46;2,82
1,75;5,13;-6,72;-1,87;9,2;0,5
0,33;2,68;-1,31;-1,68;16,98;-1,29
-2,64;4,35;-5,94;2,53;6,77;3,95
